year,fulltime_men_applied,fulltime_women_applied,fulltime_men_admitted,fulltime_women_admitted,fulltime_men_enrolled,fulltime_women_enrolled
2018,45636,52265,"13,781","15,821","3,220","3,484"
2017,41583,46845,"13,981","16,231","2,725","2,974"
2016,39779,44430,"14,103","16,170","2,669","3,077"
2015,37009,41047,"12,748","13,761","2,711","2,581"
2014,34618,38822,"11,758","12,837","2,538","2,383"
2013,31992,35408,"11,866","12,966","2,616","2,612"
2012,28758,32049,"10,917","12,046","2,328","2,245"
2011,25097,28351,"8,707","10,269","1,583","1,861"
2010,22332,25761,"8,365","9,991","1,858","2,089"
2009,21725,25321,"7,816","9,863","1,695","2,054"
2008,21590,25775,"8,517","11,200","1,893","2,399"
2007,20566,24507,"8,419","10,759","1,838","2,303"
2006,19838,23748,"9,210","12,135","2,031","2,558"
2005,18147,22371,"7,580","10,311","1,607","2,113"